uid,licence
950be83e99ad4c0b86051e39aff22291,CC Attribution
9cfbe4727b7f4af0a11772687c4a1f59,CC Attribution
a544d0fa26e241fa8e0b27dcb627afd1,CC Attribution-NonCommercial-ShareAlike
add95683b3b1427082763924ad6dfed3,CC Attribution
ae3d38c9e1c249f8adb4dec0b37aa095,CC Attribution
aeed89c97d8e4c95b115875064aaa1fd,CC Attribution
b19442c3095d48e3b2deb8a1f6830fbe,CC Attribution-NonCommercial-ShareAlike
b28ed98292d2420d97fb94e2d45b0ffc,CC Attribution
b2f9f4aa2c7b4cd9a71471641a2dcace,CC Attribution
b520fe10c0374d168ab349dc6528e5af,CC Attribution-NonCommercial-ShareAlike
b530ffdcf2144d1e824c12a43e90893f,CC Attribution
ba309062dc6046eda99dd291c1d5e8e5,CC Attribution-NonCommercial-ShareAlike
ba48a6529b8e47eeb43a6e19c227abfd,CC Attribution-NonCommercial-ShareAlike
bb7b67852aee412eacc9c97270886a50,CC Attribution-NonCommercial-ShareAlike
c0b36c1dc2b345418c3c190c5be7a359,CC Attribution-NonCommercial
c33cf3349fa54e3d8a3f004d443887a0,CC Attribution
c738d08ab693497f853a94facfa25fd8,CC Attribution-NonCommercial
c9c54612a5c54ee3a08c49bad5ec6310,CC Attribution
cb0d1783b52941c28d193a3e71f8402a,CC Attribution
d25e801bbd5547c08fc21c64d27a8b32,CC Attribution
d31ef92c95ad49d495ee51c429eafcee,CC Attribution
d36a29d57bba4eb1a09077030e7dafa3,CC Attribution
d7a699a69c634bdcaef419b81087d461,CC Attribution-NonCommercial-ShareAlike
d80ea5ec62ed433483fc62f55d14e410,CC Attribution
