no,file,uid,title,make,model,year,trim,license,creator,source_url,size_mb,file_type
45,79734588c8324e15b0466c10046e1dfb__Peugeot_Vision_GT_Gr3.glb,79734588c8324e15b0466c10046e1dfb,Peugeot Vision GT Gr3,Peugeot,308,,GT,CC Attribution,sohyalebret,https://sketchfab.com/3d-models/none-79734588c8324e15b0466c10046e1dfb,9.8,glb
46,7d4c472ba3244d5a8f99cf72f83ae9e8__2009_Volkswagen_Amarok_LP.glb,7d4c472ba3244d5a8f99cf72f83ae9e8,2009 Volkswagen Amarok LP,Volkswagen,Polo,2009,,Free Standard,KrStolorz,https://sketchfab.com/3d-models/none-7d4c472ba3244d5a8f99cf72f83ae9e8,1.5,glb
47,8707749514974d7b931744a4a740a200__Vespa_50_Special.glb,8707749514974d7b931744a4a740a200,Vespa 50 Special,Fiat,500,,,CC Attribution,danilo2222255,https://sketchfab.com/3d-models/none-8707749514974d7b931744a4a740a200,2.4,glb
48,8a1530794143468cbb8fff262d4a7455__Mazda_Vision_RX__wwwvecarzcom.glb,8a1530794143468cbb8fff262d4a7455,Mazda Vision RX  wwwvecarzcom,Mazda,2,,,CC Attribution,heynic,https://sketchfab.com/3d-models/none-8a1530794143468cbb8fff262d4a7455,38.0,glb
49,8c9484184a2b4254aafd67418b8c18db__2023_Honda_Civic_Type_R.glb,8c9484184a2b4254aafd67418b8c18db,2023 Honda Civic Type R,Honda,,2023,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-8c9484184a2b4254aafd67418b8c18db,17.7,glb
50,8deab9d97646487fbe6390012775a4ba__Low_Poly_Vehicle_Mini_Pack_5.glb,8deab9d97646487fbe6390012775a4ba,Low Poly Vehicle Mini Pack 5,Mini,,,,Free Standard,vladek27,https://sketchfab.com/3d-models/none-8deab9d97646487fbe6390012775a4ba,23.2,glb
51,8e87379f40fd40dcac0a751e22c1a188__BMW_M4_f82.glb,8e87379f40fd40dcac0a751e22c1a188,BMW M4 f82,BMW,,,,CC Attribution,BlackSnow02,https://sketchfab.com/3d-models/none-8e87379f40fd40dcac0a751e22c1a188,23.5,glb
52,9012258c3f4440919919cb23442ad507__2025_Volkswagen_Golf_R_Black_Edition.glb,9012258c3f4440919919cb23442ad507,2025 Volkswagen Golf R Black Edition,Volkswagen,Golf,2025,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-9012258c3f4440919919cb23442ad507,22.3,glb
53,91a5454aaf02492a9c7e959b8eb6db9f__Ford_Mustang_John_Bowe_1969__wwwvecarzcom.glb,91a5454aaf02492a9c7e959b8eb6db9f,Ford Mustang John Bowe 1969  wwwvecarzcom,Ford,,,,CC Attribution,heynic,https://sketchfab.com/3d-models/none-91a5454aaf02492a9c7e959b8eb6db9f,35.0,glb
54,9482f251f9c34a6e91d7777db5934cfc__Mercedes-Benz_A45_AMG_2018.glb,9482f251f9c34a6e91d7777db5934cfc,Mercedes-Benz A45 AMG 2018,Mercedes,A Class,2018,AMG,CC Attribution-NonCommercial,Lexyc16,https://sketchfab.com/3d-models/none-9482f251f9c34a6e91d7777db5934cfc,16.0,glb
55,979f37a878f04b2a8d888b62ea6027e9__Mercedes-Benz_Maybach_2022.glb,979f37a878f04b2a8d888b62ea6027e9,Mercedes-Benz Maybach 2022,Mercedes,,2022,,CC Attribution,mpgs.studio,https://sketchfab.com/3d-models/none-979f37a878f04b2a8d888b62ea6027e9,81.5,glb
56,ab2574c2d1414062bedc6a5457443757__1990_BMW_E30_M3_Sport_Evolution.glb,ab2574c2d1414062bedc6a5457443757,1990 BMW E30 M3 Sport Evolution,BMW,3 Series,1990,Sport,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-ab2574c2d1414062bedc6a5457443757,15.7,glb
57,ac3c7013434e403e8faff87948caf422__FREE_BMW_M3_E30.glb,ac3c7013434e403e8faff87948caf422,FREE BMW M3 E30,BMW,3 Series,,,CC Attribution,TinoD2,https://sketchfab.com/3d-models/none-ac3c7013434e403e8faff87948caf422,14.0,glb
58,acbd071edff442d88b0b261ef0d005a7__Polski_Fiat_126p_passenger_car.glb,acbd071edff442d88b0b261ef0d005a7,Polski Fiat 126p passenger car,Fiat,,,,CC Attribution-NonCommercial-ShareAlike,mitkrakow,https://sketchfab.com/3d-models/none-acbd071edff442d88b0b261ef0d005a7,21.5,glb
59,b59a403dfa1d40318c1126e658f87c19__Fiat_Abarth_500.glb,b59a403dfa1d40318c1126e658f87c19,Fiat Abarth 500,Fiat,500,,,CC Attribution,speedmodel,https://sketchfab.com/3d-models/none-b59a403dfa1d40318c1126e658f87c19,13.5,glb
60,b66d0653ceec4a9dbe9e51ef6e0153ce__2021__Ford_Puma_Rally1.glb,b66d0653ceec4a9dbe9e51ef6e0153ce,2021  Ford Puma Rally1,Ford,Fiesta,2021,,CC Attribution,sohyalebret,https://sketchfab.com/3d-models/none-b66d0653ceec4a9dbe9e51ef6e0153ce,26.5,glb
61,b9604dd71c6546ec842702682019492a__Honda_Civic_Type_R_-98_Free_Asset.glb,b9604dd71c6546ec842702682019492a,Honda Civic Type R -98 Free Asset,Honda,,,,CC Attribution,tiedtke,https://sketchfab.com/3d-models/none-b9604dd71c6546ec842702682019492a,19.4,glb
62,c3d5dcd8ff724bc88c46760d92fc5188__Mitsubishi_Lancer_Evolution_6___wwwvecarzcom.glb,c3d5dcd8ff724bc88c46760d92fc5188,Mitsubishi Lancer Evolution 6   wwwvecarzcom,Mitsubishi,Lancer,,,CC Attribution,heynic,https://sketchfab.com/3d-models/none-c3d5dcd8ff724bc88c46760d92fc5188,5.0,glb
63,c7ea648fc99940779dbd84d51adaa37e__Chevrolet_Camaro__wwwvecarzcom.glb,c7ea648fc99940779dbd84d51adaa37e,Chevrolet Camaro  wwwvecarzcom,Chevrolet,,,,CC Attribution,heynic,https://sketchfab.com/3d-models/none-c7ea648fc99940779dbd84d51adaa37e,35.2,glb
64,c9e5bcde2fa243ccb47514e45a621118__2013_Mercedes-Benz_G-Class_G_550.glb,c9e5bcde2fa243ccb47514e45a621118,2013 Mercedes-Benz G-Class G 550,Mercedes,A Class,2013,,CC Attribution-NonCommercial,ddiaz-design,https://sketchfab.com/3d-models/none-c9e5bcde2fa243ccb47514e45a621118,3.0,glb
65,cfffafee79f54062b0dd066b6e410d63__1969_Nissan_Fairlady_Z_432.glb,cfffafee79f54062b0dd066b6e410d63,1969 Nissan Fairlady Z 432,Nissan,,,,CC Attribution-NonCommercial-ShareAlike,outpiston,https://sketchfab.com/3d-models/none-cfffafee79f54062b0dd066b6e410d63,2.4,glb
66,d76ad5a0495443eda24a9052565ef9a8__OPEL_Astra_GTC_2012.glb,d76ad5a0495443eda24a9052565ef9a8,OPEL Astra GTC 2012,Opel,Astra,2012,,CC Attribution,comrade1280,https://sketchfab.com/3d-models/none-d76ad5a0495443eda24a9052565ef9a8,13.5,glb
67,d9bfd8126e754164b48ded833c017bbf__Low_Poly_Car_-_BMW_E46_1998.glb,d9bfd8126e754164b48ded833c017bbf,Low Poly Car - BMW E46 1998,BMW,,1998,,CC Attribution,roh3d,https://sketchfab.com/3d-models/none-d9bfd8126e754164b48ded833c017bbf,2.3,glb
68,da7dc289aeee4c8590762a1218b1bc6d__2018_Mercedes_Benz_E63_AMG_S_Wagon.glb,da7dc289aeee4c8590762a1218b1bc6d,2018 Mercedes Benz E63 AMG S Wagon,Mercedes,E Class,2018,AMG,CC Attribution,sinnik,https://sketchfab.com/3d-models/none-da7dc289aeee4c8590762a1218b1bc6d,22.3,glb
69,e3afa0620b054b8ba7da6cfe1523d24a__Ferrari_Vision_GT__Thanks_For_100_Followers.glb,e3afa0620b054b8ba7da6cfe1523d24a,Ferrari Vision GT  Thanks For 100 Followers,Peugeot,108,,GT,CC Attribution,sohyalebret,https://sketchfab.com/3d-models/none-e3afa0620b054b8ba7da6cfe1523d24a,20.3,glb
70,e4087350c4d84d8391de09b405c96488__Jeep_Compass_2022_Lowpoly.glb,e4087350c4d84d8391de09b405c96488,Jeep Compass 2022 Lowpoly,Jeep,,2022,,CC Attribution,a0930582398,https://sketchfab.com/3d-models/none-e4087350c4d84d8391de09b405c96488,14.7,glb
71,e453bdae0ee1423ea79f1322db1c7459__1986_BMW_E30_FL_LP.glb,e453bdae0ee1423ea79f1322db1c7459,1986 BMW E30 FL LP,BMW,3 Series,1986,,Free Standard,KrStolorz,https://sketchfab.com/3d-models/none-e453bdae0ee1423ea79f1322db1c7459,9.0,glb
72,e820cf40821940bcafebf24bec693d16__McLaren_720s_Spider.glb,e820cf40821940bcafebf24bec693d16,McLaren 720s Spider,,,,,CC Attribution,mpgs.studio,https://sketchfab.com/3d-models/none-e820cf40821940bcafebf24bec693d16,58.8,glb
73,f0509bed976d453c92dfcd83a5ac14e5__2006_Mitsubishi_Lancer_Evolution_IX_MR.glb,f0509bed976d453c92dfcd83a5ac14e5,2006 Mitsubishi Lancer Evolution IX MR,Mitsubishi,Lancer,2006,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-f0509bed976d453c92dfcd83a5ac14e5,5.0,glb
74,f1ab48918282450397c44daffb879f27__1972_Mazda_RX-3.glb,f1ab48918282450397c44daffb879f27,1972 Mazda RX-3,Mazda,3,,,CC Attribution-NonCommercial-ShareAlike,outpiston,https://sketchfab.com/3d-models/none-f1ab48918282450397c44daffb879f27,3.0,glb
75,f540fdbc0d93435d96ef354f01720dc0__2023_BMW_M3_Touring.glb,f540fdbc0d93435d96ef354f01720dc0,2023 BMW M3 Touring,BMW,,2023,,CC Attribution-NonCommercial-ShareAlike,ddiaz-design,https://sketchfab.com/3d-models/none-f540fdbc0d93435d96ef354f01720dc0,19.0,glb
76,f583b5bfc17346c08573dc4f1edebefe__2025_Mercedes-Benz_G-Class_AMG_G_63.glb,f583b5bfc17346c08573dc4f1edebefe,2025 Mercedes-Benz G-Class AMG G 63,Mercedes,C Class,2025,AMG,CC Attribution-NonCommercial,ddiaz-design,https://sketchfab.com/3d-models/none-f583b5bfc17346c08573dc4f1edebefe,6.0,glb
77,f680ad7e98e445eaafed1a70f2c53911__1968_Volkswagen_Beetle_LP.glb,f680ad7e98e445eaafed1a70f2c53911,1968 Volkswagen Beetle LP,Volkswagen,Polo,,,Free Standard,KrStolorz,https://sketchfab.com/3d-models/none-f680ad7e98e445eaafed1a70f2c53911,7.2,glb
